시점,구별(1),전체_소계,시세_소계,구세_소계,시세_취득세,시세_레저세,시세_주민세,시세_자동차세,시세_담배소비세,시세_재산세,시세_지방소득세,시세_지방소비세,구세_등록면허세,구세_주민세,구세_재산세,구세_종합토지세,구세_면허세,구세_지방소득세,구세_지방소비세,목적세_시세_지역자원시설세,목적세_시세_지방교육세,목적세_구세_사업소세,과년도수입_시셰_소계,과년도수입_구셰_소계
2021년,서초구,"2,658,145","2,321,738","336,408","768,089",0,"60,273","41,825",-,"416,237","829,116",-,"49,070",-,"285,558",-,-,0,242,"23,626","169,424",-,"13,148","1,538"
2021년,강남구,"4,688,045","4,132,474","555,571","1,278,110",465,"119,495","54,718",-,"703,694","1,613,511",-,"107,483",-,"442,946",-,0,-,-,"43,428","295,234",-,"23,819","5,141"
2021년,송파구,"2,013,946","1,728,032","285,914","658,621",-,"39,620","51,497",-,"362,338","432,999",-,"34,875",-,"248,662",-,-,-,"1,312","25,821","146,627",-,"10,509","1,065"
2021년,강동구,"869,564","718,998","150,566","330,591",510,"13,056","29,427",-,"141,866","123,870",-,"14,819",-,"131,420",-,-,-,"3,780","10,190","62,766",-,"6,723",546
2022년,합계,"30,711,730","26,163,798","4,547,932","5,871,174","105,142","727,769","1,025,804","588,594","3,918,885","8,835,368","2,760,286","475,589",-,"3,824,165",0,0,-,"228,918","325,408","1,789,798",-,"215,570","19,261"
2022년,본청,"4,058,281","4,058,281",-,"9,769",-,420,"399,766","588,594",-,"-2,589","2,760,286",-,-,-,-,-,-,-,-,"259,176",-,"42,859",-
2022년,종로구,"1,330,953","1,171,416","159,537","240,378","3,647","59,046","9,706",-,"120,640","668,117",-,"15,619",-,"138,531",-,-,-,"4,779","13,488","53,000",-,"3,393",608
2022년,중구,"2,077,957","1,873,231","204,725","238,006","2,483","84,197","13,522",-,"175,979","1,263,602",-,"30,937",-,"169,504",-,-,-,"3,025","22,890","67,451",-,"5,103","1,258"
2022년,용산구,"1,239,147","1,041,605","197,541","299,807",126,"23,571","16,663",-,"174,193","441,966",-,"22,736",-,"167,858",-,-,-,"5,978","10,386","69,633",-,"5,260",970
2022년,성동구,"894,247","729,280","164,967","287,424",160,"18,550","20,616",-,"129,470","199,726",-,"19,247",-,"137,718",-,-,-,"7,506","9,770","58,436",-,"5,127",495
2022년,광진구,"585,259","449,745","135,514","187,390",192,"7,163","18,841",-,"91,078","95,474",-,"9,519",-,"117,603",-,-,-,"8,106","6,752","38,008",-,"4,847",285
2022년,동대문구,"535,952","405,566","130,386","153,174","16,880","8,608","18,894",-,"83,483","73,241",-,"8,352",-,"112,028",-,-,-,"9,549","7,068","39,913",-,"4,305",456
2022년,중랑구,"390,557","273,765","116,793","103,634","11,954","4,571","19,685",-,"55,558","41,700",-,"7,218",-,"98,434",0,-,-,"10,865","5,119","26,969",-,"4,576",275
2022년,성북구,"537,022","403,477","133,544","135,445","4,117","6,229","24,301",-,"88,919","98,570",-,"8,852",-,"112,670",-,-,-,"11,374","6,409","33,601",-,"5,888",648
2022년,강북구,"289,940","182,472","107,468","69,124","7,272","3,134","12,637",-,"40,096","24,266",-,"4,033",-,"92,918",-,-,-,"10,304","3,735","18,408",-,"3,799",213
2022년,도봉구,"296,879","188,268","108,611","59,199","7,010","3,204","16,924",-,"43,136","33,167",-,"4,845",-,"93,046",-,0,-,"10,510","3,221","18,548",-,"3,858",210
2022년,노원구,"467,794","337,645","130,150","123,827",279,"6,411","28,684",-,"80,626","55,878",-,"7,340",-,"107,702",-,-,-,"14,695","5,596","30,630",-,"5,714",413
2022년,은평구,"475,273","344,246","131,027","131,834",264,"5,174","24,739",-,"81,046","57,336",-,"8,684",-,"109,303",-,-,-,"12,702","7,374","31,286",-,"5,193",339
2022년,서대문구,"502,799","372,922","129,876","136,345",170,"10,126","17,633",-,"78,211","89,397",-,"8,423",-,"111,169",-,-,-,"9,601","6,611","30,093",-,"4,337",683
2022년,마포구,"1,014,427","829,474","184,952","266,940",205,"29,877","24,766",-,"165,098","255,486",-,"20,357",-,"155,603",-,-,-,"8,169","17,255","63,402",-,"6,444",823
2022년,양천구,"624,156","470,095","154,061","129,209",239,"7,467","29,773",-,"124,773","123,130",-,"9,810",-,"133,622",-,-,-,"10,240","8,102","41,552",-,"5,849",388
